t,family,regime,method,x,target,policy,switch,error,switch_work
0,recontact_settling,high_noise_high_cost,immediate_greedy,0.046641696790532886,1.0,1,0,0.9533583032094671,0.0
2,recontact_settling,high_noise_high_cost,immediate_greedy,0.12523658619635292,1.0012599972784018,1,0,0.8760234110820488,0.0
4,recontact_settling,high_noise_high_cost,immediate_greedy,0.23286224222976631,1.0025199782272565,1,0,0.7696577359974901,0.0
6,recontact_settling,high_noise_high_cost,immediate_greedy,0.3537524562240244,1.0037799265172285,1,0,0.6500274702932041,0.0
8,recontact_settling,high_noise_high_cost,immediate_greedy,0.4501128200674335,1.005039825819406,1,0,0.5549270057519725,0.0
10,recontact_settling,high_noise_high_cost,immediate_greedy,0.5885045294324002,1.0062996598055112,1,0,0.417795130373111,0.0
12,recontact_settling,high_noise_high_cost,immediate_greedy,0.6787830455797688,1.0075594121481135,1,0,0.32877636656834475,0.0
14,recontact_settling,high_noise_high_cost,immediate_greedy,0.7746316590796105,1.0088190665208403,1,0,0.2341874074412298,0.0
16,recontact_settling,high_noise_high_cost,immediate_greedy,0.7479184409495124,1.0100786065985885,0,1,0.26216016564907607,1.9469999999999998
18,recontact_settling,high_noise_high_cost,immediate_greedy,0.8248146238955963,1.011338016057736,1,0,0.18652339216213976,4.244459999999999
20,recontact_settling,high_noise_high_cost,immediate_greedy,0.8990585195972483,1.0125972785763542,1,0,0.11353875897910592,4.244459999999999
22,recontact_settling,high_noise_high_cost,immediate_greedy,0.8588136183881134,1.0138563778344185,1,1,0.15504275944630508,9.89076
24,recontact_settling,high_noise_high_cost,immediate_greedy,0.9490720710893439,1.0151152975140199,1,0,0.06604322642467597,9.89076
26,recontact_settling,high_noise_high_cost,immediate_greedy,1.0310853295671625,1.016374021299577,1,0,0.014711308267585377,9.89076
28,recontact_settling,high_noise_high_cost,immediate_greedy,1.114928737031513,1.0176325328780473,1,0,0.09729620415346574,9.89076
30,recontact_settling,high_noise_high_cost,immediate_greedy,0.957304597857046,1.0188908159391383,0,0,0.0615862180820923,13.2396
32,recontact_settling,high_noise_high_cost,immediate_greedy,0.940078564657491,1.0201488541755193,0,1,0.0800702895180283,20.98866
34,recontact_settling,high_noise_high_cost,immediate_greedy,0.8969558182834458,1.0214066312830319,0,1,0.12445081299958605,30.13956
36,recontact_settling,high_noise_high_cost,immediate_greedy,0.9610118407881607,1.022664130960903,1,0,0.06165229017274232,35.2407
38,recontact_settling,high_noise_high_cost,immediate_greedy,1.0714298996436113,1.023921336911954,1,0,0.04750856273165738,35.2407
40,recontact_settling,high_noise_high_cost,immediate_greedy,1.0496161370370192,1.0251782328428132,1,1,0.024437904194205995,45.09251999999999
42,recontact_settling,high_noise_high_cost,immediate_greedy,1.0531534888884542,1.0264348024641274,1,1,0.026718686424326732,55.294799999999995
44,recontact_settling,high_noise_high_cost,immediate_greedy,1.0276748977498091,1.0276910294907715,0,1,1.613174096237735e-05,60.746399999999994
46,recontact_settling,high_noise_high_cost,immediate_greedy,0.8631319576412991,1.0289468976420613,0,0,0.16581494000076213,60.746399999999994
48,recontact_settling,high_noise_high_cost,immediate_greedy,0.9388226713264223,1.0302023906419626,1,0,0.09137971931554034,66.54845999999999
50,recontact_settling,high_noise_high_cost,immediate_greedy,0.9050143568824727,1.0314574922193038,0,1,0.12644313533683116,72.35051999999999
52,recontact_settling,high_noise_high_cost,immediate_greedy,0.9787045334051419,1.0327121861079864,1,0,0.05400765270284458,78.15257999999999
54,recontact_settling,high_noise_high_cost,immediate_greedy,1.0555496940828655,1.0339664560471948,1,0,0.021583238035670638,78.15257999999999
56,recontact_settling,high_noise_high_cost,immediate_greedy,0.9418818297059709,1.0352202857816082,0,0,0.09333845607563729,82.90325999999999
58,recontact_settling,high_noise_high_cost,immediate_greedy,0.8947130655996816,1.0364736590616108,0,1,0.14176059346192926,93.45599999999999
60,recontact_settling,high_noise_high_cost,immediate_greedy,0.983834799525629,1.0377265596435026,1,0,0.053891760117873555,98.90759999999999
62,recontact_settling,high_noise_high_cost,immediate_greedy,0.9879069252211754,1.0389789712897095,0,1,0.051072046068534105,103.65827999999999
64,recontact_settling,high_noise_high_cost,immediate_greedy,1.0601168371854337,1.040230877768994,1,0,0.01988595941643978,108.75941999999999
66,recontact_settling,high_noise_high_cost,immediate_greedy,0.9229547701203119,1.0414822628566656,0,0,0.11852749273635366,113.86055999999999
68,recontact_settling,high_noise_high_cost,immediate_greedy,1.0281047379230481,1.0427331103347914,1,0,0.014628372411743307,118.9617
70,recontact_settling,high_noise_high_cost,immediate_greedy,1.1086601800564817,1.0439834039924052,1,0,0.06467677606407651,118.9617
72,recontact_settling,high_noise_high_cost,immediate_greedy,1.08317342363011,1.045233127625719,0,1,0.03794029600439108,123.71238
74,recontact_settling,high_noise_high_cost,immediate_greedy,1.0643909744944215,1.0464822650383319,0,1,0.01790870945608969,134.26511999999997
76,recontact_settling,high_noise_high_cost,immediate_greedy,1.0235316786088495,1.0477308000414405,1,1,0.024199121432590953,139.71671999999995
78,recontact_settling,high_noise_high_cost,immediate_greedy,1.1303850000840485,1.0489787164540485,1,0,0.08140628363000002,139.71671999999995
80,recontact_settling,high_noise_high_cost,immediate_greedy,0.9861630227110458,1.050225998103177,0,0,0.06406297539213113,144.46739999999994
82,recontact_settling,high_noise_high_cost,immediate_greedy,1.0584833165021263,1.051472628824073,1,0,0.007010687678053351,149.56853999999993
84,recontact_settling,high_noise_high_cost,immediate_greedy,1.0094471801997724,1.0527185924604199,1,1,0.04327141226064746,159.4203599999999
86,recontact_settling,high_noise_high_cost,immediate_greedy,0.9784206743998438,1.0539638728645464,0,1,0.07554319846470259,164.5214999999999
88,recontact_settling,high_noise_high_cost,immediate_greedy,0.8533536951367545,1.0552084538976358,0,0,0.20185475876088133,164.5214999999999
90,recontact_settling,high_noise_high_cost,immediate_greedy,0.9063660604405179,1.0564523194299356,1,0,0.15008625898941763,169.62263999999988
92,recontact_settling,high_noise_high_cost,immediate_greedy,0.9274945173165166,1.0576954533409657,0,1,0.13020093602444915,174.72377999999986
94,recontact_settling,high_noise_high_cost,immediate_greedy,0.8888127533091575,1.058937839519728,1,1,0.17012508621057043,179.47445999999985
96,recontact_settling,high_noise_high_cost,immediate_greedy,0.9424561241534856,1.060179461864915,1,0,0.1177233377114294,179.47445999999985
98,recontact_settling,high_noise_high_cost,immediate_greedy,1.0025519352239443,1.0614203042851187,1,0,0.05886836906117443,179.47445999999985
100,recontact_settling,high_noise_high_cost,immediate_greedy,0.9562309281314569,1.0626603506990384,1,1,0.10642942256758148,188.62535999999983
102,recontact_settling,high_noise_high_cost,immediate_greedy,0.8463729898040115,1.0638995850356903,0,0,0.21752659523167872,193.37603999999982
104,recontact_settling,high_noise_high_cost,immediate_greedy,0.8373274552441462,1.0651379912346144,1,1,0.2278105359904682,197.7762599999998
106,recontact_settling,high_noise_high_cost,immediate_greedy,0.9186054560008899,1.0663755532460837,1,0,0.14777009724519374,197.7762599999998
108,recontact_settling,high_noise_high_cost,immediate_greedy,1.0305680174176917,1.067612255031312,1,0,0.03704423761362041,197.7762599999998
110,recontact_settling,high_noise_high_cost,immediate_greedy,1.1133253629119322,1.0688480805626617,1,0,0.04447728234927051,197.7762599999998
112,recontact_settling,high_noise_high_cost,immediate_greedy,1.093464910323029,1.0700830138238508,0,1,0.0233818964991781,201.4755599999998
114,recontact_settling,high_noise_high_cost,immediate_greedy,1.1725066391849446,1.0713170388101616,1,0,0.10118960037478297,205.5253199999998
116,recontact_settling,high_noise_high_cost,immediate_greedy,1.2635126449289704,1.0725501395286479,1,0,0.19096250540032256,205.5253199999998
118,recontact_settling,high_noise_high_cost,immediate_greedy,1.165370562917498,1.073782299998341,0,0,0.0915882629191569,209.5750799999998
120,recontact_settling,high_noise_high_cost,immediate_greedy,1.1293326690634231,1.0750135042504592,1,1,0.05431916481296395,213.27437999999978
122,recontact_settling,high_noise_high_cost,immediate_greedy,1.1023459193072702,1.076243736328612,1,1,0.026102182978658295,221.02343999999977
124,recontact_settling,high_noise_high_cost,immediate_greedy,1.0679054051668995,1.0774729802890093,0,1,0.009567575122109817,225.07319999999976
126,recontact_settling,high_noise_high_cost,immediate_greedy,1.0664268066392153,1.0787012202006663,0,1,0.01227441356145098,234.22409999999974
128,recontact_settling,high_noise_high_cost,immediate_greedy,1.0428504900859508,1.079928440145611,0,1,0.0370779500596603,244.7768399999997
130,recontact_settling,high_noise_high_cost,immediate_greedy,1.026694458490115,1.0811546242190904,1,1,0.054460165728975385,250.57889999999972
132,recontact_settling,high_noise_high_cost,immediate_greedy,1.017914811449832,1.0823797565297757,0,1,0.06446494507994371,256.38095999999973
134,recontact_settling,high_noise_high_cost,immediate_greedy,0.975275168160092,1.0836038211999695,0,1,0.10832865303987749,268.3355399999997
136,recontact_settling,high_noise_high_cost,immediate_greedy,0.928329163530434,1.0848268023658105,0,1,0.15649763883537648,281.69195999999965
138,recontact_settling,high_noise_high_cost,immediate_greedy,0.9064356738764552,1.0860486841774804,0,1,0.17961301030102517,295.7492999999996
140,recontact_settling,high_noise_high_cost,immediate_greedy,0.7536207017459727,1.0872694507994076,0,0,0.3336487490534349,295.7492999999996
142,recontact_settling,high_noise_high_cost,immediate_greedy,0.8276395901308973,1.0884890864104741,1,0,0.2608494962795769,302.6027399999996
144,recontact_settling,high_noise_high_cost,immediate_greedy,0.915333260070555,1.0897075752042191,1,0,0.17437431513366408,302.6027399999996
146,recontact_settling,high_noise_high_cost,immediate_greedy,0.971334387618923,1.0909249013890452,1,0,0.1195905137701222,302.6027399999996
148,recontact_settling,high_noise_high_cost,immediate_greedy,0.9698010070953298,1.092141049188422,1,1,0.12234004209309224,313.50593999999955
150,recontact_settling,high_noise_high_cost,immediate_greedy,1.0714981790881504,1.093356002841091,1,0,0.02185782375294054,313.50593999999955
152,recontact_settling,high_noise_high_cost,immediate_greedy,0.9337945089087236,1.0945697466012696,0,0,0.16077523769254598,318.95753999999954
