controller,hysteresis,dwell,mean_switches,mean_switch_cost,mean_abs_error,mean_final_abs_error
immediate_switch,0.0,0,213.76,171.0080000000003,0.08965001754246472,0.07899839906704893
dwell_only,0.0,6,54.3,43.43999999999999,0.16700666936378927,0.17917708566381424
deadband_only,0.35,0,37.68,30.144000000000016,0.18350953360798897,0.17687628798145194
hysteresis_dwell,0.35,6,36.9,29.52000000000001,0.18614248023308944,0.17891878740250583
over_hysteresis,0.9,18,14.3,11.44,0.4387183669982189,0.3694975410887216
